Lat,Lon,Original_ID,ordercode,serialno,floor,Service_Time,Freq,Address,Depot_Raw,Node_ID,Order_Count,Nearest_Anchor,Anchor_Type,Anchor_Distance_km,Cluster_ID,Travel_Time,Total_Time
25.01871,121.20933,76801 宏福-102地號,RT202500006978,1440,1,8.0,1x,桃園市大園區興德路67號附近-地號102,5A-平鎮倉,N_1282,1,國1-中壢,N1,4.675283391202898,0,7.913399484759085,15.913399484759086
25.01873,121.21284,74635 侑甫營造-明德街,RT20250000011808,1440,1,8.0,1x,桃園市大園區明德街11號,5A-平鎮倉,N_1283,1,國1-中壢,N1,4.4791485442879875,0,7.78761248868256,15.78761248868256
25.01885,121.20873,78037 謙平營造-青埔段93-95地號-9/9,RT20250000012625,1440,1,8.0,1x,桃園市大園區青埔段93-95地號-大園重劃區-(永園路二段附近),5A-平鎮倉,N_1284,1,國1-中壢,N1,4.724529207929018,0,7.962018936709108,15.962018936709107
25.01885,121.21299,76636 羅傑土木-青峰段,RT202500006138,1440,1,8.0,1x,桃園市大園區明德街32號旁,5A-平鎮倉,N_1285,1,國1-中壢,N1,4.482987573198704,0,7.802676891816382,15.802676891816382
25.0189,121.20868,78294 鴻崴營造-航空城,RT20250000013592,1440,1,8.0,1x,桃園市大園區永園路二段-航空城-附地標,5A-平鎮倉,N_1286,1,國1-中壢,N1,4.732212942596062,0,7.972266259861796,15.972266259861797
25.01891,121.2195,62888 日富營造-青園國小,RT20240000010168,1438,1,16.0,1x,桃園市中壢區大勇路68號旁工地(華泰三期附近工地),5A-平鎮倉,N_1287,2,國1-中壢,N1,4.197032678014198,12,5.926972960202177,21.92697296020218
25.01895,121.20883,75921 謙平營造-八股路,RT202500002785,1440,1,8.0,1x,桃園市大園區永園路二段183巷141號,5A-平鎮倉,N_1288,1,國1-中壢,N1,4.727760047546017,0,7.973646447701942,15.973646447701942
25.01913,121.22782,77269 合禾工程-五青路,RT202500009099,1440,1,8.0,1x,桃園市大園區五青路459巷83號,5A-平鎮倉,N_1289,1,國1-中壢,N1,4.011201821204977,12,5.571338835265804,13.571338835265804
25.01923,121.04951,76858 建銘營造-物流園區,RT202500007147,1450,1,8.0,1x,桃園市觀音區濱海路保生段306巷,5A-平鎮倉,N_1290,1,台61-觀音,TH61,1.209860579082945,9,14.222893159549365,22.222893159549365
25.01934,121.22334,68539 大濟建設-御木院,RT202500008469,1438,1,16.0,1x,桃園市中壢區青峰路1段&領航南路交叉轉角,5A-平鎮倉,N_1291,2,國1-中壢,N1,4.121871430803959,12,5.670968786617439,21.67096878661744
